Nom,adresse,Code postal,Ville,Téléphone,Email,Site web,Texte complémentaire Codelico,Liste de catégories,Type,Pays,urlImg
Abba,32 rue du languedoc,67000,Strasbourg,06 14 31 22 25,Contact@strasbourg-abba.com,Http://strasbourg-abba.com,"Colis alimentaires, sur présentation d'une recommandation d'un service social et sur rdv. tout public en difficulté sociale. secteur sud de strasbourg. distribution le dimanche à 12h","Vie quotidienne, alimentation, aide alimentaire",Association,Fr,
Adoma,24 rue de mâcon,67100,Strasbourg,03 88 43 15 70,Ahmet.yildiz@adoma.fr,Http://www.adoma.fr,"Admission par commissions d'orientation asile instituées par les services de l'état (ofii). durée : le temps de la procédure ofpra et cnda. hébergement : collectif/diffus-cus/hors cus. accueil et hébergement des demandeurs d’asile, accompagnement administratif, social et médical, scolarisation des enfants et soutien à l’apprentissage du français pour les adultes, aide à la découverte du nouvel environnement social, institutionnel et culturel de la personne. personnes isolées et familles demandeuses d'asile. lundi mardi mercredi jeudi et vendredi : matin sur rdv, et 14h-18h","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/hébergement pour migrants",Association,Fr,
Adoma,26 rue du faubourg de saverne,67000,Strasbourg,03 88 32 14 29,Logement.alsace@adoma.fr,Http://www.adoma.fr,"24 logements autonomes, conventionnés à l'apl. orientation par la plateforme siao. accompagnement individuel dans les actes de la vie quotidienne, actions collectives favorisant la lutte contre l’isolement. encadrement par un binôme responsable/agent d’accueil. personnes en situtation de précarité et/ou d’isolement social et affectif, éprouvant des difficultés à vivre seules. sous condition de ressources. strasbourg centre/gare. du lundi au vendredi, 8h30-12h30 / 13h30-17h30.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//maison relais",Association,Fr,
Adoma foyer travailleurs migrants,1 avenue du général de gaulle,67800,Hoenheim,03 88 33 75 15,Logement.alsace@adoma.fr,Http://www.adoma.fr,"120 chambres meublées en unités de vie avec éléments de confort partagés, conventionnées à l'apl. aide à la gestion locative et sociale. personnes isolées en situation d'insertion, sous condition de ressources. schiltigheim-hoenheim. du lundi au vendredi, 9h-12h/ 14h-17h. les demandes de logement adoma sont dématérialisées et sont à saisir en ligne sur le site : www.adoma.fr","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/foyer",Association,Fr,
Adoma les berges de l'ain,1b rue de l'ain,67000,Strasbourg,03 88 36 15 33,Laila.tenenbaum@adoma.fr,Http://www.adoma.fr,"30 places en chalets autonomes et partagés. orientation par le siao. accompagnement social adapté. participation financière selon les ressources. pour tout renseignement contacter la structure. public : personnes isolées (h/f) et couples sans enfant, au long parcours de rue. 7 places ""réservées"" pour les personnes accompagnées d'un chien. présence cde l'équipe adoma de 8h à 12h30 et de 13h30 à 17h30 en semaine, sauf le vendredi à 16h30. site interdit aux mineurs",Hébergement de stabilisation,Association,Fr,
Adoma résidence sociale des petites fermes,64 rue des petites fermes,67200,Strasbourg,03 88 30 42 54,Logement.alsace@adoma.fr,Http://www.adoma.fr,"Mise en service de la résidence sociale en avril 2018. 157 logements autonomes meublés du t1 au t1 bis en résidence sociale et 68 logements meublés en unités de vie avec éléments de confort partagés en ftm. tous les logements sont conventionnés à l’apl. aide à la gestion locative sociale. personnes isolées, couples, familles monoparentales en situation d’insertion, sous condition de ressources. strasbourg-koenigshoffen. du lundi au vendredi, 9h-12h/ 14h-17h. les demandes de logement sont à saisir en ligne sur www.adoma.fr","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Adoma résidence sociale jeunes mâcon,24 rue de mâcon,67100,Strasbourg,03 88 40 80 84,Logement.alsace@adoma.fr,Http://www.adoma.fr,"165 logements meublés autonomes, conventionnés àa l’apl (t1, t1bis et t2). public : jeunes 18-35 ans, en parcours d’insertiont, isolés, couples, couples avec enfants en bas âge, familles monoparentales, sous condition de ressources. strasbourg-neuhof. du lundi au vendredi, 9h-12h/ 14h-17h. les demandes de logement sont à saisir en ligne sur www.adoma.fr","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Adoma résidence sociale kibitzenau,1 avenue du neuhof,67100,Strasbourg,03 88 84 71 44,Logement.alsace@adoma.fr,Http://www.adoma.fr,"140 logements meublés en unités de vie, éléments de confort partagés. conventionnés à l’apl. aide à la gestion locative et sociale. personnes isolées en situation d'insertion, sous condition de ressources. strasbourg-neuhof. du lundi au vendredi, 9h-12h/14h-17h. les demandes de logement sont à saisir en ligne sur www.adoma.fr","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Adoma résidence sociale la couronne,9 rue du marais vert,67000,Strasbourg,,,,Résidence en réhabilitation en 2017,"Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Adoma résidence sociale lausanne,2 rue de lausanne,67000,Strasbourg,03 88 25 51 12,Logement.alsace@adoma.fr,Http://www.adoma.fr,"92 logements meublés conventionnés à l'apl. 65 logements en unités de vie avec éléments de confort partagés, et 27 logements autonomes - t1, t1bis. aide à la gestion locative et sociale. personnes en situation d’insertion, isolées, couples ou familles monoparentales avec enfant en bas âge, sous condition de ressources. strasbourg-centre/bourse. du lundi au vendredi, 9-12h/14-17h. les demandes de logement sont à saisir en ligne sur www.adoma.fr","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Adoma résidence sociale metzgerau,300 avenue de colmar,67100,Strasbourg,03 88 39 02 97,Logement.alsace@adoma.fr,Http://www.adoma.fr,"199 logements meublés, conventionnés à l'apl, 104 logements en unités de vie avec éléments de confort partagés, et 85 logements autonomes, t1, t1 bis. aide à la gestion locative et sociale. personnes isolées en situation d’insertion ou vieillissantes, sous condition de ressources. strasbourg-meinau. du lundi au vendredi, 9h-12h/14h-17h les demandes de logement sont à saisir en ligne sur www.adoma.fr","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Adoma résidence sociale romains,146-148 route des romains,67200,Strasbourg,03 88 30 31 34,Logement.alsace@adoma.fr,Http://www.adoma.fr,"54 logements meublés en unités de vie avec éléments de confort partagés, conventionnés à l'apl. aide à la gestion locative et sociale.personnes isolées en situation d'insertion, sous condition de ressources. strasbourg-koenigshoffen. lundi-mardi-vendredi 14h-17h. les demandes de logement sont à saisir en ligne sur www.adoma.fr","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Adoma résidence sociale stockfeld,18 rue welsch,67100,Strasbourg,03 88 39 70 58,Logement.alsace@adoma.fr,Http://www.adoma.fr,"Site en réhabilitation. 120 logements meublés, conventionnés à l'apl. aide à la gestion locative et sociale. personnes en situation d'insertion, sous condition de ressources. strasbourg-neuhof. du lundi au vendredi, 9h-12h/14-17h","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Adoma résidence sociale ziegelwasser,50 rue de soultz,67100,Strasbourg,03 88 34 52 08,Logement.alsace@adoma.fr,Http://www.adoma.fr,"271 logements autonomes meublés conventionnés à l’apl, t1, t1 bis, t2 (hors accueil des deux rives- horizon amitié). aide à la gestion locative et sociale. personnes isolées, couples avec ou sans enfants, familles monoparentales, en situation d'insertion, sous condition de ressources.strasbourg-neudorf. du lundi au vendredi, 9h-12h / 14-17h. les demandes de logement sont à saisir en ligne sur www.adoma.fr","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Alt - ass. de lutte contre la toxicomanie,11 rue louis apffel,67000,Strasbourg,03 88 35 61 86,Contact@alt-67.org,Http://www.alt-67.org,"Equipe mobile paej, constituée d’un assistant de service social, d’un infirmier et d’un psychologue. elle se rend disponible et se déplace à la rencontre des jeunes, des parents et des professionnels. numéro vert : 03 88 09 09 09 intervient dans le nord du territoire du bas-rhin (ref utams saverne, haguenau et wissembourg). lundi 10h - 19h, mardi 09h - 18h, mercredi 09h - 19h, jeudi 09h - 19h.","Santé, accueil et service médicalisés, unité mobile de soins et de prévention",Association,Fr,
Alt - ass. de lutte contre la toxicomanie csapa - centre d'accueil et de soins,11 rue louis apffel,67000,Strasbourg,03 88 35 61 86,Contact@alt-67.org,Http://www.alt-67.org,Distribution de carte de douche lors de l’ouverture du lieu d’accueil. sur place : douche possible sur inscription préalable auprès des intervenants du lieu d’accueil et uniquement pour les personnes accompagnées. lundi 9h00 à 12h00 et 14h00 à 17h00.vendredi de 10h00 à 15h00.,"Vie quotidienne, hygiène, douche",Association,Fr,
Alt - association de lutte contre la toxicomanie,29 rue du gal libermann,67400,Illkirch-graffenstaden,,,,"Écoute-infos-soutien. gratuit, anonyme et confidentiel. espace de parole. actions collectives. accompagnement et prévention.jeunes de 12-25 ans faisant face à une conduite addictive (produits psycho-actifs et/ou addiction comportementale) ou à des expériementations. famille, entourage et professionnels vendredi 14h-18h30 présence d’un éducateur 06 95 65 31 36 et d'un psychologue 06 83 78 47 00.",Accueil et service médicalisés / addictologie,Association,Fr,
Alt - association de lutte contre la toxicomanie,6 rue du mistral,67800,Bischheim,,,,"(dans les locaux de la jeep) écoute-infos-soutien. gratuit, anonyme et confidentiel. espace de parole. actions collectives. accomp. et prévention. jeunes de 12-25 ans faisant face à une conduite addictive (produits psycho-actifs et/ou addiction comportementale) ou à des expérimentations, + familles, entourage et professionnels. bischheim mercredi 15h-19h présence d’un éducateur 06 95 65 31 36. mardi 9h-13h présence d’une psychologue 07 68 24 30 44",Accueil et service médicalisés / addictologie,Association,Fr,
Alt - association de lutte contre la toxicomanie * csapa - centre d'accueil et de soins,11 rue louis apffel,67000,Strasbourg,03 88 35 61 86,Contact@alt-67.org,Http://www.alt-67.org,"Service exclusivement réservé aux personnes ayant une problématique addictive inscrites dans un suivi individualisé au cas. strasbourg lundi de 9h à 12h et de 14h à 17h, mardi de 9h à 12h, mercredi de 9h à 14h, jeudi de 14h à 17h, vendredi de 9h à 15h","Insertion, accompagnement social, domiciliation",Association,Fr,
Alt - association de lutte contre la toxicomanie cjc - consultations jeunes consommateurs,29 rue du gal libermann,67400,Illkirch-graffenstaden,,,,"Écoute-infos-soutien. gratuit, anonyme et confidentiel. espace de parole. actions collectives. accompagnement et prévention.jeunes de 12-25 ans faisant face à une conduite addictive (produits psycho-actifs et/ou addiction comportementale) ou à des expériementations. famille, entourage et professionnels vendredi 14h-18h30 présence d’un éducateur 06 95 65 31 36 et d'un psychologue 06 83 78 47 00.",Lieu d'accueil et d'orientation,Association,Fr,
Alt - association de lutte contre la toxicomanie cjc - consultations jeunes consommateurs chez jeep,6 rue du mistral,67800,Bischheim,,,,"(dans les locaux de la jeep) écoute-infos-soutien. gratuit, anonyme et confidentiel. espace de parole. actions collectives. accompagnement et prévention. jeunes de 12-25 ans faisant face à une conduite addictive (produits psycho-actifs et/ou addiction comportementale) ou à des expérimentations, + familles, entourage et professionnels. bischheim mercredi 15h-19h présence d’un éducateur 06 95 65 31 36. mardi 09h-13h présence d’une psychologue 07 68 24 30 44.",Lieu d'accueil et d'orientation,Association,Fr,
Alt - association de lutte contre la toxicomanie csapa - centre d'accueil et de soins,1 rue louis apffel,67000,Strasbourg,03 88 35 61 86,Contact@alt-67.org,Http://www.alt-67.org,"Csapa - centre de soins d’accompagnement, de prévention en addict. - accompagnement et soins des personnes présentant une conduite addictive et/ou une addiction. gratuit et anonyme. - accompagnement de l'entourage. - accompagnement médical, psychologique, social et éducatif, sur rdv. 1. prise en charge médicale, sur rdv uniquement. - accompagnement et suivi médical. - prévention, réduction des risques et des dommages, dépistages des mist et des hépatites, du vih, vaccinations. - initialisation et mise en place de traitement de substitution. - préparation et mise en place de sevrage. 2. prise en charge psychologique, sociale et éducative sur rdv. - psychothérapie, suivi psychologique. - démarches administratives, ouvertures de droits, soutien aux démarches de soins. - accompagnement de l’entourage. accompagnemt spécifique pour des personnes sous main de justice : - obligations de soins. - rappel à la loi. - injonctions thérapeutiques. - intervention au centre de détention oermingen. 3. lieu d'accueil ouvert sans rv. - prévention, réduction des risques et des dommages sociaux et psychologiques. - soutien administratif. - actions collectives et ateliers. - accès machine à laver, douches et orientation vers les bains municipaux. personnes présentant une conduite addictive. entourage familial, relationnel et professionnel. strasbourg. consultations sur rdv. accueil téléph. tous les jours : 8h30 à 18h",Accueil et service médicalisés / dépistage gratuit sida et ist,Association,Fr,
Alt - association de lutte contre la toxicomanie csapa - centre d'accueil et de soins,11 rue louis apffel,67000,Strasbourg,03 88 35 61 86,Contact@alt-67.org,Http://www.alt-67.org,"Csapa - centre de soins d’accomp. de prévention en addictologie. - accomp. et soins des personnes présentant une conduite addictive et/ou une addiction. gratuit et anonyme. - accomp. de l'entourage. - accompagnement médical, psychologique, social et éducatif, sur rdv.1. prise en charge médicale, sur rdv uniquement. - accomp. et suivi médical. - prévention, réduction des risques et des dommages, dépistages des mist et des hépatites, du vih, vaccinations. - initialisation et mise en place de traitement de substitution. - préparation et mise en place de sevrage. 2. prise en charge psychologique, sociale et éducative sur rdv. - psychothérapie, suivi psychologique. - démarches administratives, ouvertures de droits, soutien aux démarches de soins. - accompagnement de l’entourage. accomp. spécifique pour des personnes sous-main de justice : - obligations de soins. - rappel à la loi. - injonctions thérapeutiques . - intervention au centre de détention oermingen. 3. lieu d'accueil ouvert sans rv. - prévention, réduction des risques et des dommages sociaux et psychologiques. - soutien administratif. - actions collectives et ateliers.personnes présentant une conduite addictive. entourage familial, relationnel et professionnel. strasbourg. consultations sur rdv. accueil téléphonique tous les jours : de 8h30 à 18h",Accueil et service médicalisés / addictologie,Association,Fr,
