"Extraction des données du guide Codelico",,,,,,,,,,,,,,,,,"Les catégories sont les niveaux de titres (2.1, 2.1.1, 2.1.2,  2.2, 2.3…) cf page 3 du guide pdf",,,,"Cette colonne sert pour les pictos !",,,,,,,
"Copiez-coller les entrées dans l'ordre où elles apparaissent dans le guide PDF. Le texte complémentaire sera exploité par la suite.",,,,,,,,,,,,,,,,,"Conseil : copiez-collez  toutes les entrées d'une section puis collez la liste de catégories dans toutes les cases correspondantes",,,,,,,,,,,
"Paroisse du Temple Neuf  ","6 rue du Temple Neuf  ",67000,Strasbourg,"03 88 32 89 89 ","paroisse.templeneuf@icloud.com ",http://www.templeneuf.org,"Un petit déjeuner par semaine, pour les plus démunis. Le mercredi entre 8h30 et 10h (sauf fériés) de début octobre à mi-juin. Des repas festifs sont proposés autour de Noël : se renseigner. De début octobre à mi-juin, les mercredis entre 8h30 et 10h, sauf fériés.",,,,,,,,,,"Vie quotidienne, Alimentation, Restauration",,organisation,FR,,,,,,,,
"Paroisse Saint Guillaume  ","Foyer Lecocq 1 rue Ernest Munch  ",67000,Strasbourg,"03 88 36 01 36 ",info@saint-guillaume.org,http://www.saint-guillaume.org,"Un petit déjeuner hebdomadaire, pour les plus démunis. Au Foyer Lecocq, dans la cour de l'église. Contact : M. Baltz 07 86 31 77 00. Le mercredi de 8h30 à 10h, jusqu'au 25 avril 2018. Maximum 55 personnes.",,,,,,,,,,"Vie quotidienne, Alimentation, Restauration",,organisation,FR,,,,,,,,
"Strasbourg Action Solidarité - SAS  ","14 boulevard d'Anvers ",67000,Strasbourg,"06 09 21 95 49 ",strasbourg.action.solidarite@gmail.com,,"Repas confectionnés, et aide alimentaire (produits, sandwichs...). Personnes sans domicile fixe. Distribution Place de la gare. Le mardi à partir de 19h, toute l'année. Début mai à fin septembre le jeudi à partir de 19h (en plus du mardi).",,,,,,,,,,"Vie quotidienne, Alimentation, Restauration",,organisation,FR,,,,,,,,
"Ville et Eurométropole de Strasbourg  ","CCAS - Centre Kiener - Accueil de jour 2 rue Fritz Kiener ",67000,Strasbourg,"03 88 37 56 06 ","ccas.cahm@strasbourg.eu ",,"Thé ou tisane à l'ouverture. Petite collation. Soupe mardi et jeudi de 11h45 à 12h20. Personnes à la rue. Fermeture hebdomadaire le lundi la journée, et le jeudi à 13h.D",,,,,,,,,,"Vie quotidienne, Alimentation, Restauration",flyer,"service public",FR,,,,,,,,
"Barr Entraide  ","5 rue des Tanneurs  ",67140,Barr,"06 81 07 36 83 ","barrentraide.kissenberger@gmail.com ",,"Colis alimentaires, après avis de l'assistante sociale ou du CCAS de la Ville de Barr. Le mardi de 15h à 17h.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Croix Rouge Française ","Délégation locale de Barr 1 Place de l'Hôtel de Ville",67140,Barr,"03 88 61 05 23 ","dl.barr@croix-rouge.fr ",,"Bons alimentaires. (se renseigner) (infos non actualisées)",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul  ","Sous-sol Résidence Bon Séjour ",67000,Strasbourg,"06 77 17 77 22 ","liliane.bernard52@gmail.com ",,"Colis alimentaire. Orientation par travailleur social. Habitants de Mutzig. 3e mercredi du mois.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Entraide Haute-Bruche","6 rue du Chenagoutte  ",67130,NATZWILLER,"03 88 97 90 08 ","westermannclarisse@neuf.fr ",http://entraidehautebruche.eklablog.com,"Autre tél : 06 74 39 00 26.  Aide alimentaire, colis d'urgence, et vente produits hygiène à prix réduits. Orientation par travailleur social (UTAMS, CCAS, Mission locale, HAD Schirmeck, EPSAN, CRAM CMP Molsheim). Point de vente également pour les produits d’hygiène. Partenaire de la BA67. Nous contacter par courriel si pas d'urgence immédiate. Résidents de la Vallée de la Haute-Bruche (18 communes). De saales à Rothau plus Barembach. 2 distributions par mois le vendredi de 16h30 à 18h. Adresse de distribution : cour de la mairie à 67570 ROTHAU.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul   - St OSTWALD","5 rue des Frères Matthis  ",67540,OSTWALD,"03 69 73 63 48 ","morand.pflieger@gmail.com ",,"Antenne ""Banque alimentaire"". Denrées alimentaires sous forme de colis, sur prescription d'un TS, ou exceptionnellement en urgence. Personnes seules et familles en difficulté, précarité, au chômage, réfugiés politiques, etc. Ostwald et CUS sud et ouest. Distribution au 2, rue de l'Église le vendredi 14h - 18h30.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du coeur  - Antenne de Ostwald ","1 allée Cassin  ",67540,OSTWALD,"03 88 66 96 10 ","ad67.ostwald@restosducoeur.org ",http://ad67.restosducoeur.org/,"Aide alimentaire. Lundi et mercredi de 10h à 16h.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du Coeur   - Antenne de Reichstett ","Impasse du Gymnase  ",67116,REICHSTETT,"09 72 63 23 80 ","ad67.reichstett@restosducoeur.org ",http://ad67.restosducoeur.org/,"Aide alimentaire. Jeudi de 13h15 à 16h15. Inscriptions le jeudi de 10h à 12h.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Croix Rouge Française  ","1 rue Sainte Marie  ",67700,SAVERNE,"03 88 71 03 71 ","dl.saverne@croix-rouge.fr ",,"(se renseigner) (infos non actualisées)",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du Cœur  - Antenne de Saverne ","16 rue du Zornhoff  ",67700,SAVERNE,"03 61 58 96 21 ","ad67.saverne@restosducoeur.org ",http://ad67.restosducoeur.org/,"Aide alimentaire Le jeudi de 9h30 à 12h et de 13h30 à 15h30.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul - Ste Famille",,67300,SCHILTIGHEIM,"03 88 62 09 36 ","jeanmariemarechal@orange.fr ",,"Distribution de bons alimentaires selon nécessité.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du Coeur  Schiltigheim-Bischheim ","Cour Elmia Bât B - rue Principale",67300,SCHILTIGHEIM,"03 88 62 92 39 ","ad67.schiltigheim@restosducoeur.org ",http://ad67.restosducoeur.org/,"Aide alimentaire. Mercredi et vendredi de 10h à 11h et de 13h à 16h.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Caritas Alsace   Réseau Secours Catholique ","10 rue des Sport",67590," SCHWEIGHOUSE-SUR-MODER ","06 74 25 26 09 ",,,"Possibilité d'aide alimentaire. Atelier cuisine mensuel. Contact : 06 74 25 26 09",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul  ","1 rue duVieux Marché aux vins  ",67600,SÉLESTAT,"03 88 92 88 46 ","andre.flaitz@ymail.com ",,"Aide alimentaire sous forme de bons d'achat. Possibilité d'intervention d'urgence sous forme d'aide financière, après contact du TS. Tout public. Sélestat. 2e et 4e mardi mardis du mois 15h - 17h, au local.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Croix Rouge Française   Unité locale de Sélestat ","1 place St Georges  ",67600,SÉLESTAT,"03 88 92 16 76 ","croix-rouge.selestat@wanadoo.fr ",,"Bons alimentaires (s’adresser à l’assistant social de secteur). Contact : Mme WOLFERSPERGER Tél. 07 86 62 58 78. Permanence : les jeudis impairs du mois de 14h à 15h30",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du Coeur   Antenne de Sélestat ","24 rue de la Filature  ",67600,SÉLESTAT,"03 88 58 48 11 ","ad67.selestat@restosducoeur.org ",http://ad67.restosducoeur.org/,"Aide alimentaire. Mardi, jeudi et vendredi de 9h30 à 12h.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Croix Rouge Française    Wissembourg","1c impasse des Sept fontaines",67250," SOULTZ-S-FORÊTS","06 85 26 09 39 ","ul.wissembourg@croix-rouge.fr ",,"Colis alimentaires. (Infos non actualisées)",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"ABBA Association","32 rue du Languedoc ",67000,Strasbourg,"06 14 31 22 25 ","contact@strasbourg-abba.com ",http://strasbourg-abba.com,"Colis alimentaires, sur présentation d'une recommandation d'un service social et sur RDV. Tout public en difficulté sociale. Secteur sud de Strasbourg. Distribution le dimanche à 12h",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Armée du Salut   Poste de Strasbourg ","12 rue des Cordonniers  ",67000,Strasbourg,"03 88 32 54 58 ",postestrasbourg@armeedusalut.fr,http://www.armeedusalut.fr,"Réseau Banque Alimentaire ouvert toute l’année. Pas d'inscription en juillet et août. Colis alimentaires aux familles Sur orientation et après évaluation des besoins sur entretien au 5 B rue de la Chaîne le lundi de 13h à 15h. Tout public. Le jeudi de 13h à 15h.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Association Foyer Notre Dame   - PADA 67 - Plateforme d'Accueil pour Demandeurs d'Asile ","7 rue St Michel  ",67000,Strasbourg,"03 88 14 12 44 ","pada@foyernotredame.org ",http://www.foyernotredame.org,"Plateforme départementale d'accueil, d'information, d'orientation et de domiciliation.  Orientation selon modalités convenues vers partenaires. Demandeurs d'asile primo-arrivants non hébergés en structures sans ressources. Départemental",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",flyer,organisation,FR,,,,,,,,
"Caritas Alsace   Antenne du Neuhof ","8 rue des Jésuites  ",67000,Strasbourg,"03 88 40 19 99 ","caritasalsace.neuhof@orange.fr ",,"Aide alimentaire, en lien avec le service accueil. Jeudi 8h30-12h et 14h-16h30.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Centre social protestant  ","2 rue Brûlée  ",67000,Strasbourg,"03 88 32 73 11 ","csp@semis.org ",http://www.csp.semis.org,"Colis alimentaires, accompagnement social, administratif, budgétaire et réinsertion en partenariat avec le travailleur social référent. Participation financière 1,50€ par adulte et 0,75€ par enfant jusqu’à 13 ans (sauf exception). Tout public. Lundi et jeudi à partir de 8h30, mardi à partir de 14h",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",flyer,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul  Antenne Centre - St Pierre Le Jeune","7 rue Saint Léon  ",67000,Strasbourg,,"csvp.splj67@gmail.com ",,"Antenne ""Banque alimentaire"". Distribution de colis alimentaires, et aide ponctuelle sur prescription d'un travailleur social. Référents : Anne Willemin tél. 03 88 32 07 97, Gérard Albasser tél. 03 90 22 54 14. Tout public envoyé par les TS. Secteur Tribunal et Gare. Distribution le 1er jeudi du mois 8h30 à 11H, au foyer paroissial, 4 rue Gloxin. Sauf au mois d'août.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul  Antenne Cronenbourg - St Florent ","2 place St Florent ",67000,Strasbourg,,"gemg@free.fr ",,"Antenne ""Banque alimentaire"". Distribution de colis alimentaires, et aide ponctuelle sur prescription d'un travailleur social. Référent : Mme GENDNER 03 88 27 81 14. Tout public. Cronenbourg. Les 1er et 3e mardi du mois à 11h",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul   Antenne de Neudorf - St Aloyse ","Presbytère - 127 route du Polygone",67000,Strasbourg,"03 88 55 90 40 ","francisszymanski@orange.fr ",,"Antenne ""Banque alimentaire"". Colis alimentaires de septembre à juin sur prescription d'un TS. Tout public. Neudorf. Deuxième lundi du mois 14h30 - 16h30.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul  Antenne de Neudorf - St Urbain ","28 rue de Lièpvre  ",67000,Strasbourg,,"noellerebel@hotmail.com ",,"Distribution et portage mensuels de colis alimentaire à domicile sur prescription d'un TS. Contact : Mme Marotte 03 88 34 49 17 / 06 82 41 91 78. M. Bernard Zimmermann 03 88 41 91 71 / 06 89 96 38 11. Personnes en situation de précarité. Neudorf",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul  Antenne de Neudorf - Ste Thérèse","Rue de St Dié  ",67000,Strasbourg,,"gangloffjp.67@free.fr ",,"Antenne ""Banque alimentaire"". Colis alimentaires sur prescription d'un TS. Contact : Suzanne GANGLOFF - Tél. 03 88 84 48 86 Tout public. Neudorf, Neuhof. Distribution le 3e jeudi du mois 16h - 17h, sous l'église.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul  Antenne Robertsau - St Louis ","3 rue du Docteur Freysz  ",67000,Strasbourg,,"bernweissbecker@gmail.com ",,"Bons alimentaires et possibilité d'accompagnement ponctuel sur proposition d'un TS. Chaque mois réunion avec les anciens du quartier et présentation de différentes animations. Référent : Bernard WEISSBECKER, Tél. 03 88 31 11 44. Tout public. Quartier Robertsau et Cité de l'Ill. 2e et 4e samedis du mois au foyer St Louis.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul  Cathédrale ND - Ste Madeleine ","1 rue de Rohan  ",67000,Strasbourg,"06 60 49 10 72 ","eelbel@wanadoo.fr ",,"Portage de colis alimentaire ou accompagnement lors d'achats alimentaires en grande surface sur prescription du CMS. STBG centre. Permanence d'accueil : vendredi tous les 15 jours 9h - 11h, Foyer Ste Madeleine, 1b, rue du Fossé des orphelins.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Croix Rouge Française  ","30 rue Schweighaeuser ",67000,Strasbourg,"03 88 61 84 57 ","ul.strasbourg@croix-rouge.fr ",,"Colis alimentaire, sur recommandation d'un service social. Participation de 2 €. Du lundi au vendredi de 14h15 à 17h. Fermé le jeudi.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Équipe St Vincent  Association","23 rue Vauban  ",67000,Strasbourg,"03 88 60 24 54 ","strasbourg@equipes-saint-vincent.com ",http://www.equipes-saint-vincent.com,"Distribution alimentaire. Prix du colis : 1€ par adulte (plus de 14 ans) + 0,50 € par enfant (4 à 14 ans). Sur avis d'un travailleur social ou d'une autre association. Cité Spach - Port du Rhin - Rotterdam - Esplanade - Neudorf. 2 fois par mois, le jeudi matin de 8h30 à 11h,  sauf pendant les vacances scolaires.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Femmes de Paroles - Home protestant  ","7 rue de l'Abbé Lemire  ",67000,Strasbourg,"03 88 23 41 30 ",secretariat@homeprotestant.fr,,"En-cas - Possibilité de chauffer un repas. Pour les personnes accueillies. Public : femmes avec ou sans enfants. Repas collectif le jeudi (présence avant 11h30), plats réchauffés en soirée lundi, mardi et vendredi 17h-19h. Lundi 9h30 à 12h, mardi et vendredi 14h à 17h, jeudi 10h à 16h.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du coeur  Antenne Cronenbourg","21 rue Lavoisier  ",67000,Strasbourg,"06 69 97 56 96 ","ad67.cronenbourg@restosducoeur.org ",http://ad67.restosducoeur.org/,"Aide alimentaire. Lundi et vendredi de 8h30 à 12h. Inscriptions le mercredi de 14h à 16h",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du coeur  Antenne Hautepierre ","Maison du Quartier 3 place de la Comtesse de Ségur",67000,Strasbourg,"06 69 97 53 23 ","ad67.hautepierre@restosducoeur.org ",http://ad67.restosducoeur.org/,"Aide alimentaire. Lundi et vendredi de 9h à 12h. Inscriptions le mercredi de 9h à 12h.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du coeur  Antenne Meinau ","15 rue des Frères Eberts",67000,Strasbourg,"03 88 40 14 13 ","ad67.meinau@restosducoeur.org ",,"Aide alimentaire. N° tél. provisoire. Regroupe les anciens centres Esplanade, Gare, Neudorf, Elsau et Neuhof. Inscriptions mercredi de 9h à 12h. Du lundi au jeudi 9h à 12h et 13h30 à 16h30 et le samedi de 9h à 15h.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du coeur  Antenne Neuhof ","23 rue du Marschallhof",67000,Strasbourg,"03 88 40 36 33 ","ad67.neuhof@restosducoeur.org ",http://ad67.restosducoeur.org/,"Aide alimentaire. Lundi et jeudi de 13h à 17h. Inscriptions du lundi au jeudi de 9h30 à 11h30",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du coeur  Antenne Robertsau","Centre socio-culturel L'Escale 78 rue du Dr François  ",67000,Strasbourg,"06 69 78 73 66 ","ad67.robertsau@restosducoeur.org ",http://ad67.restosducoeur.org/,"Aide alimentaire. Jeudi de 12h à 15h. Vendredi de 10h à 15h. Inscriptions jeudi de 9h à 11h",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du coeur  Resto Bébé ","15 rue des Frères Eberts",67000,Strasbourg,"09 83 93 14 13 ","ad67.bebes@restosducoeur.org ",http://ad67.restosducoeur.org/,"Resto BB. N° tél provisoire. Écoute, information, orientation,  Public : mamans et leur bébé jusqu'à 12 mois. Mardi et jeudi de 9h à 12h et de 13h15 à 15h30. Inscriptions les mardis et jeudis matins.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",flyer,organisation,FR,,,,,,,,
"Les Restos du coeur  Siège","8 rue de l'Ardèche  ",67000,Strasbourg,"03 88 81 12 23 ","ad67.siege@restosducoeur.org ",http://ad67.restosducoeur.org/,"Siège et Entrepôt départemental. Secrétariat : 8h30-12h30 et 13h30-17h. Dépôt : lundi à vendredi 7h30-12h, samedi 7h30-11h. ",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Plate-forme de solidarité  Siège ","127 route du Polygone  ",67000,Strasbourg,"06 31 39 61 83 ","plateformesolidariteneudorf@hotmail.fr ",,"Autre tél. 06 82 41 91 78 Distrib. alimentaire, au 18 rue de Dambach. Personnes orientées par les services sociaux, CMS, ADOMA, MdM...  Avant toute orientation prendre contact avec l'assoc.  par @ ou Tél. Strasbourg-Neudorf. Le samedi de 9h à 12h sur RDV. Le vendredi de 14h à 17h sur RDV.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Secours populaire français  ","150, avenue de Colmar  ",67000,Strasbourg,"03 88 36 28 91 ","contact@spf67.org ","https://www.secourspopulaire.fr/67/ ","Libre service de la Solidarité alimentaire. Une aide alimentaire est apportée aux personnes en difficulté après avoir échangé avec nos bénévoles. Familles en difficulté. Strasbourg et Eurométropole. (non actualisé",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",flyer,organisation,FR,,,,,,,,
"Strasbourg Action Solidarité - SAS  ","14 boulevard d'Anvers ",67000,Strasbourg,"06 09 21 95 49 ","strasbourg.action.solidarite@gmail.com ",,"Repas confectionnés, et aide alimentaire (produits, sandwichs...). Distribution Place de la gare. Personnes sans domicile fixe. Le mardi à partir de 19h, toute l'année. Début mai à fin septembre : le jeudi à partir de 19h (en plus du mardi).",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Croix Rouge Française  ","101 rue du Général De Gaulle  ",67310,WASSELONNE,"03 88 87 04 51 ","dl.wasselonne@croix-rouge.fr ",,"(se renseigner) (infos non actualisées)",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Les Restos du coeur  ","104 rue du Général De Gaulle  ",67310,WASSELONNE,"03 88 87 27 24 ","ad67.wasselonne@restosducoeur.org ",http://ad67.restosducoeur.org/,"Aide alimentaire. Mardi et vendredi de 9h à 12h.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Conférence St Vincent de Paul  Antenne de Wisembourg - Sts Pierre et Paul",,67160,WISSEMBOURG,"03 88 67 16 31 ","jean-louis.gliech@wanadoo.fr ",,"Distribution de bons alimentaires. Travail en collaboration avec les services sociaux. Aides ponctuelles. Référent : Anne-Marie GLIECH Tél. 03 88 94 01 22. Tout public. Wissembourg. 2e jeudi du mois, 14h - 16h, au foyer, avenue de la Sous-préfecture.",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Croix Rouge Française  ","11 rue de Turcos  , BP 40",67360,WOERTH,"03 88 09 32 42 ","dl.woerth@croix-rouge.fr ",,"(se renseigner) (infos non actualisées",,,,,,,,,,"Vie quotidienne, Alimentation, Aide alimentaire",,organisation,FR,,,,,,,,
"Repartir  ","4 rue du Fleuve  ",67930,BEINHEIM,"03 88 05 29 25 "," repartir@orange.fr;ma.sutter@wanadoo.fr ",http://www.association-repartir.fr,"Lieu : 1, place du Château - 67630 Lauterbourg. Participation demandée : 10%. Pas d'accès direct : commissions d'attribution. L'orientation se fait obligatoirement par un TS du secteur ou un CCAS. Ateliers pédagogiques (cuisine, santé, entretien de l'épicerie, diététique, parole/écriture, créatif, etc.) obligatoires pour les usagers de l'épicerie sociale. Lieu des ateliers : Beinheim, Lauterbourg. Mercredi 14h - 18h sur rendez-vous, et sur demande en cas d'urgence.",,,,,,,,,,"Vie quotidienne, Alimentation, Épicerie solidaire",,organisation,FR,,,,,,,,
